throw_id,team_id,fielder_id,fielder_position,thrower_id,thrower_position,receiver_id,receiver_position,exchange_time,throw_pos_x,throw_pos_y,throw_velo_x,throw_velo_y,throw_velo_z,batter_pos_x_at_throw,batter_pos_y_at_throw,batter_velo_at_throw,bounce_pos_x,bounce_pos_y,bounce_velo_x,bounce_velo_y,bounce_velo_z,receiver_pos_x,receiver_pos_y,receiver_dist_from_1b,throw_deflected_by_receiver,start_state,end_state,runs_on_play,batter_result
29781,8,290,5,415,4,857,3,0.566,2.413610634,124.5974732,51.90312411,-47.74093101,7.813459972,35.21241743,40.68161757,24.89469084,NA,NA,NA,NA,NA,60.68311278,64.37258444,3.046002082,0,1___0,____2,0,out
29783,8,541,4,541,4,290,3,1.034,-1.243491828,134.4556774,49.4279205,-52.38097553,7.637945611,37.31681254,38.2892306,24.3561188,NA,NA,NA,NA,NA,60.37865169,63.83892257,3.267043998,0,____2,____3,0,out
29784,10,70,1,70,1,46,3,0,-23.20355049,39.03709032,74.12773979,32.42471501,9.31707502,44.53358573,47.44402727,30.31647465,NA,NA,NA,NA,NA,59.62533291,68.87491593,6.597184854,0,____0,1___0,0,first
29785,10,44,5,44,5,46,3,1.833,-25.43263037,99.79601917,69.49739211,-26.83912552,5.876511048,39.15953791,39.52170697,28.58403894,NA,NA,NA,NA,NA,60.03552396,63.02025433,3.656916762,0,1___2,____3,0,out
29786,10,391,6,391,6,46,3,0.6,-11.4433474,127.9146652,53.53305233,-45.25721947,12.08670936,34.11041818,34.7321279,26.03911227,NA,NA,NA,NA,NA,60.31281096,64.06423614,3.353789047,0,____2,____3,0,out
29789,10,391,6,391,6,46,3,0.7,-30.00074327,109.2662233,63.61498775,-30.99680343,9.10583342,34.24092268,33.03000007,29.03502768,NA,NA,NA,NA,NA,59.89533435,63.48537019,3.747451464,0,____1,____2,0,out
29791,8,306,6,306,6,290,3,0.666,45.98699515,130.1702041,18.62848548,-61.77546325,6.081545302,35.0073937,36.3473629,27.23620283,NA,NA,NA,NA,NA,62.24700629,65.04298096,1.977067306,0,12__2,____3,0,out
29792,10,44,5,44,5,46,3,1.134,-93.42074746,92.90571809,78.39452137,-11.00955707,7.530301084,26.00271565,26.09308412,25.2552514,43.54226793,69.74024444,46.86533876,-10.74596834,8.19165641,59.25071179,64.05928573,4.408917969,0,____1,____2,0,out
29795,10,44,5,391,6,46,3,0.6,-1.412873982,125.6669725,47.0545752,-43.14420109,10.76298341,25.75500381,25.49286847,19.72315645,NA,NA,NA,NA,NA,60.69779232,63.08838673,2.993015286,0,1___0,____2,0,out
29796,11,327,9,327,9,482,3,2.067,101.212693,224.3313147,-13.10557886,-63.66317924,9.907814958,48.67477647,47.99548404,13.37173651,76.70834937,106.7179394,-9.079429277,-35.14011245,8.508378944,64.54414898,68.33378345,4.780528394,0,1___1,1___2,0,out
29797,11,327,9,327,9,482,3,1.033,145.4084929,208.9692382,-66.89838261,-50.71323304,13.41038529,55.11865103,46.46492056,17.40295443,-21.2497364,85.48920277,-30.67026265,-21.55381465,10.59742072,54.42655477,68.18895603,10.27506394,0,1___2,1_3_2,0,first
29799,11,655,6,655,6,482,3,1.367,-37.45809217,121.3923752,68.27138493,-34.69921393,6.703169486,29.41863317,33.05923985,23.92337806,NA,NA,NA,NA,NA,59.86875048,64.54469956,3.877959569,0,_2__0,_2__1,0,out
29801,11,358,5,785,4,482,3,0.533,-0.585149209,125.761167,56.22441158,-48.22099746,5.318997264,40.84381704,43.12270254,26.19961216,NA,NA,NA,NA,NA,61.2232879,66.19633872,3.517879209,0,12__0,__3_2,0,out
29804,5,182,6,182,6,219,3,2.034,-27.63237917,98.94269833,73.737048,-27.46822138,6.680855526,37.83863882,36.48363326,22.21318874,NA,NA,NA,NA,NA,61.25526765,63.53883843,2.386471216,0,____1,____2,0,out
29805,5,182,6,182,6,219,3,0.9,34.09274943,140.6088601,22.23925059,-55.58297752,10.0503489,37.14047355,37.69417837,22.99563584,NA,NA,NA,NA,NA,61.14881895,64.47351909,2.626679549,0,____2,____3,0,out
29806,12,107,5,107,5,536,3,1.033,-14.98289842,114.376566,71.18200503,-40.87603495,6.809071954,46.77152957,45.3147821,29.18330078,NA,NA,NA,NA,NA,60.71364815,65.08699783,3.264381287,0,____0,1___0,0,first
29807,5,198,5,198,5,219,3,0.867,-89.53917361,91.55464064,72.03910399,-10.49289401,6.802095172,27.29862805,27.23235481,24.80308953,28.11030198,71.03603588,41.35498377,-8.440973381,7.776425843,59.37020741,63.61414983,4.269478817,0,____1,____2,0,out
29810,5,182,6,182,6,219,3,1.433,-50.36150712,112.8814312,76.82770937,-29.57415269,5.521410279,35.09958079,34.45355237,26.33401904,NA,NA,NA,NA,NA,60.70826481,64.47451769,3.047926633,0,____0,____1,0,out
29811,5,198,5,198,5,219,3,1.834,-51.26766644,103.5167776,68.95974453,-19.57592072,9.839879568,23.89613707,26.0301354,20.66341988,NA,NA,NA,NA,NA,61.84920932,65.47265637,2.562341424,0,____0,____1,0,out
29812,12,399,4,399,4,536,3,1.166,83.85928408,137.7434124,-17.22589781,-70.84083842,4.659306197,37.65012817,37.29749859,27.4173108,NA,NA,NA,NA,NA,60.86828182,64.26925024,2.841954963,0,____0,____1,0,out
29813,5,198,5,198,5,219,3,1.7,-47.21503781,103.1986443,68.23869351,-22.15494197,8.985164706,35.46809913,34.66315909,23.84650582,NA,NA,NA,NA,NA,61.08003319,63.63707628,2.559578373,0,____2,____3,0,out
29814,5,198,5,198,5,219,3,1.1,-54.18959125,74.05451294,68.52907144,-3.95362947,9.334034751,31.60755651,31.71998111,26.61159313,NA,NA,NA,NA,NA,59.44104103,64.15444462,4.230016352,0,____0,____1,0,out
29815,13,394,4,394,4,310,3,1.066,90.68929434,134.8795801,-22.54649142,-64.09382841,6.35671631,32.65195607,31.86263411,22.51259522,NA,NA,NA,NA,NA,61.57730328,64.41263589,2.202425673,0,____0,____1,0,out
29817,13,277,1,688,6,310,3,0.566,-0.456964289,122.2964851,59.75461066,-52.11423047,2.619249171,49.08681154,50.54378461,29.5827225,NA,NA,NA,NA,NA,59.77587962,64.55275981,3.970170886,0,12__1,1_3_2,0,first
29819,13,688,6,688,6,310,3,1.1,-54.41030629,124.9597476,76.38591635,-37.51726208,9.360808434,27.66818799,29.18105711,25.441611,NA,NA,NA,NA,NA,61.36026245,63.97084043,2.303288963,0,1_3_2,____3,0,out
29820,13,408,5,408,5,310,3,0.733,-36.27874871,41.05851422,67.25251781,17.73916501,4.004422169,43.04880192,44.32294047,30.38815556,46.45018537,58.80376381,41.86109068,5.953556563,7.551054102,59.2895311,63.84336578,4.354848498,0,____0,1___0,0,first
29827,1,201,5,201,5,514,3,1.9,-44.4847347,106.1591495,66.72138751,-23.5087226,9.892608343,30.15109368,30.27424102,21.99904951,NA,NA,NA,NA,NA,60.69470305,64.42489494,3.047810803,0,____0,____1,0,out
29828,1,813,6,813,6,514,3,1.4,-1.446609206,129.4637896,63.58368202,-60.19931285,9.403879803,42.500229,42.7396131,28.7883755,NA,NA,NA,NA,NA,61.38442153,64.43445822,2.391162818,0,1___0,____2,0,out
29832,1,187,4,187,4,514,3,0.967,89.21958633,121.2356611,-28.44591318,-60.82739616,2.34742487,40.29978409,40.98223019,28.90404067,NA,NA,NA,NA,NA,60.59346063,64.7458504,3.2408016,0,_2__2,____3,0,out
29833,1,187,4,187,4,514,3,1.2,17.4446629,146.0174293,40.61167056,-66.25626184,7.696763286,38.78864153,40.40032576,29.73747273,NA,NA,NA,NA,NA,60.71661304,63.72859692,2.92435149,0,____1,____2,0,out
29834,4,379,6,379,6,397,3,1.3,42.35736478,130.4817049,18.73479959,-47.51287961,8.927272916,37.5091958,37.02013838,25.25789256,NA,NA,NA,NA,NA,62.90035032,65.8827015,2.361771244,0,____1,____2,0,out
29835,1,813,6,813,6,514,3,1.667,-58.58659363,126.8822129,80.25161573,-37.32312512,3.597334017,31.08868607,31.8827787,27.96112827,NA,NA,NA,NA,NA,59.86244962,62.58712046,3.921055692,0,____0,____1,0,out
29836,4,240,5,240,5,397,3,1.966,-35.56418324,151.8759951,61.22968484,-50.00324005,8.344645493,33.62650078,32.35049867,26.00127286,NA,NA,NA,NA,NA,60.57184294,66.61750455,4.27540065,0,____1,____2,0,out
29837,4,658,1,658,1,397,3,0.634,27.62921696,42.70876029,32.00470756,17.88249809,5.862379087,42.51396572,41.8989135,29.87964374,NA,NA,NA,NA,NA,59.67366181,63.82179577,3.970130859,0,____0,____1,0,out
29838,1,774,1,774,1,514,3,1,15.04717817,44.12894668,44.59293705,20.71725424,3.749068329,36.83754253,39.75088366,27.93378319,NA,NA,NA,NA,NA,62.09907468,66.19163698,2.980954573,0,____1,____2,0,out
29839,3,526,4,16,6,103,3,0.6,4.459161378,124.7345285,53.61046342,-53.68684904,5.813476061,48.82245313,48.35136159,28.66257984,NA,NA,NA,NA,NA,59.71270347,64.64370904,4.053247037,0,1_3_0,1___1,1,first
29840,3,526,4,526,4,103,3,0.967,-6.127551638,100.4534772,64.52397551,-33.87255512,6.23664065,43.10488523,43.39311701,29.1232413,NA,NA,NA,NA,NA,60.65138154,63.56824608,2.989080798,0,1___2,____3,0,out
29841,3,16,6,16,6,103,3,1.4,-65.36919827,118.1627281,66.65616114,-22.24678925,8.570983069,28.23347036,30.48440013,22.69445043,51.27751724,73.62557821,36.01112187,-15.69824641,9.599739441,61.90107025,65.91750045,2.865537482,0,____2,____3,0,out
29842,3,92,5,92,5,103,3,0.667,-38.48091335,69.75709755,77.40632329,2.795754891,5.624553081,39.47071771,41.23455037,29.33067963,NA,NA,NA,NA,NA,62.38256993,67.8812574,4.423993737,0,____1,____2,0,out
29843,7,757,5,757,5,615,3,0.967,-64.07958873,98.43928752,82.26777025,-20.62146413,9.444986144,8.238982541,8.307011268,8.278892203,NA,NA,NA,NA,NA,60.98351226,62.6518538,2.833817168,0,1___0,1___1,0,out
29847,11,655,6,655,6,482,3,1.6,-23.6263266,140.348267,62.87815272,-52.68503018,8.403289008,32.7639885,33.52354613,26.08081474,NA,NA,NA,NA,NA,61.16757155,64.37339283,2.578645457,0,____1,____2,0,out
29848,11,685,8,655,6,482,3,3.566,-1.201407627,125.2169438,0.222138796,-30.57361843,10.45440161,63.01853923,65.73153212,1.753729806,NA,NA,NA,NA,NA,-1.874516215,76.23779457,66.71442888,0,_2__0,1___0,1,first
29849,11,224,1,224,1,482,3,1.734,14.94388591,54.23547623,43.50854015,10.15809987,5.664833197,34.64524137,38.04545149,27.49095105,NA,NA,NA,NA,NA,61.712902,66.0299513,3.070168561,0,____0,____1,0,out
29850,11,824,1,824,1,482,3,1.7,7.883404941,47.18072772,58.28647289,17.9528596,7.462081146,43.41663209,45.22066893,28.00982659,NA,NA,NA,NA,NA,61.3405102,65.55246909,2.990800901,0,1_3_1,_23_2,0,out
29853,11,212,5,212,5,482,3,1.833,-58.68374247,62.18525364,73.33514648,3.261993832,10.93036053,35.19011424,32.43650953,25.54966945,NA,NA,NA,NA,NA,61.23000403,64.33816946,2.508821891,0,12__0,12__1,0,first
29854,12,107,5,107,5,536,3,0.933,-4.551104906,137.870792,50.55640464,-50.06544288,9.06533502,32.97122794,32.08346601,26.88871411,NA,NA,NA,NA,NA,60.89421466,64.35302949,2.836576136,0,____0,____1,0,out
29855,12,399,4,399,4,17,3,1.167,50.96297991,122.3760124,9.109744786,-49.19754177,8.101557938,36.62224309,36.33707008,26.25736149,NA,NA,NA,NA,NA,61.92283488,64.93439005,2.150295902,0,____2,____3,0,out
29856,12,337,6,337,6,17,3,0.8,-29.97603753,101.898319,72.11883141,-25.85326246,9.792706165,30.57793678,33.17162368,21.32914749,NA,NA,NA,NA,NA,61.8159008,64.66765281,2.093510863,0,____1,____2,0,out
29858,5,198,5,198,5,219,3,0.5,-62.53288907,103.9335848,65.01661247,-18.73717701,13.64540228,43.9113942,45.73678559,24.83114259,NA,NA,NA,NA,NA,58.42239578,64.0280877,5.231657682,0,1___0,12__0,0,first
29860,5,182,6,182,6,219,3,0.7,-20.15923986,136.7589149,62.76486112,-52.31292144,11.73335734,34.85063574,36.44741726,28.49950227,NA,NA,NA,NA,NA,60.01262565,63.82872646,3.631911703,0,____0,____1,0,out
29863,2,162,6,162,6,262,3,1.299,21.43278361,138.2712201,36.66979581,-62.64100656,4.328279479,39.079213,40.68842885,25.84599935,NA,NA,NA,NA,NA,60.8828688,63.5690452,2.757644499,0,123_2,____3,0,out
29864,2,396,5,396,5,312,3,1.833,-49.69310838,66.17169313,79.36058561,0.476276953,5.652534869,27.8285738,30.62877667,27.1707357,NA,NA,NA,NA,NA,59.96777672,63.41140495,3.678918259,0,____0,____1,0,out
29865,2,312,4,312,4,262,3,0.8,-12.14438321,107.3501418,64.39440735,-35.29694658,7.393819077,33.92953895,33.78556854,29.30094606,NA,NA,NA,NA,NA,60.2835225,63.57893794,3.356636192,0,____2,____3,0,out
29866,14,42,5,42,5,534,3,1.666,-43.25469257,74.86861629,78.41906987,-6.658989544,7.210125746,35.03333281,32.83416077,24.49226776,NA,NA,NA,NA,NA,61.86821823,63.78510849,1.777357481,0,1___2,____3,0,out
29870,2,312,4,312,4,262,3,1.534,-6.513771025,100.0326453,70.28037291,-33.79440065,2.839514563,44.17501273,45.2269848,27.03875874,NA,NA,NA,NA,NA,61.08225309,63.70917051,2.558303065,0,____2,____3,0,out
29872,2,162,6,162,6,262,3,0.767,-23.98361685,97.2355604,56.63779441,-20.98208559,-0.243834011,30.57370315,32.35007935,27.94838384,38.65947981,71.62306129,28.95855287,-13.95071719,10.22406853,59.4988099,61.84046989,4.514768462,0,123_2,123_2,1,first
29873,2,312,4,312,4,262,3,1.633,NA,NA,5.44605151,-66.44204345,5.089286441,35.25356705,36.76709682,25.59519558,NA,NA,NA,NA,NA,61.40512166,63.93292859,2.253658168,0,____1,____2,0,out
29876,2,121,4,121,4,312,3,1.134,10.30128429,142.1389571,44.58699803,-60.97791973,8.707897105,34.70233802,35.64376973,29.56683119,NA,NA,NA,NA,NA,60.97024311,65.30525926,3.146411875,0,____1,____2,0,out
29877,2,396,5,396,5,262,3,1,-92.16135009,91.7737864,79.26477888,-8.93201977,0.439888873,26.74086451,27.81590792,26.02081223,0.011065745,78.43482331,56.03720187,-9.893100517,8.843239468,58.9856388,64.48259513,4.729701277,0,____0,____1,0,out
29879,14,85,4,85,4,534,3,1.333,21.08093529,144.8679718,34.1789366,-60.06389903,8.314416204,34.15651962,36.80425012,26.46399021,NA,NA,NA,NA,NA,61.76160279,64.44026465,2.041558129,0,____0,____1,0,out
29880,2,162,6,162,6,262,3,0.834,-52.5777332,112.5784975,73.96944937,-30.06722428,7.448578201,37.79845014,39.39026,27.43344786,NA,NA,NA,NA,NA,59.55313631,63.33811181,4.097581122,0,____1,____2,0,out
29881,6,566,6,566,6,25,3,1.1,-13.33525092,134.6292591,55.74508419,-49.88192189,7.434635796,34.27285015,35.48974492,25.09026959,NA,NA,NA,NA,NA,60.14502955,64.00686373,3.513825513,0,____1,____2,0,out
